tanggal;komoditi;jutaUSD
2019-05-31;Bulu Unggas ;81.50
2019-06-30;Hasil Minyak;25.07
2019-06-30;Pakaian Jadi Bukan Rajutan;1010.13
2019-06-30;Barang-barang Rajutan;422.66
2019-06-30;Kayu - Barang dari Kayu;433.79
2019-06-30;Perabot Peneragangan Rumah;337.87
2019-06-30;Alas Kaki;191.93
2019-06-30;Serat Stafel Buatan;221.04
2019-06-30;Barang-barang dari Kulit ;173.10
2019-06-30;Mesin/Peralatan Listrik;156.95
2019-06-30;Mesin-mesin/Pesawat Mekanik;83.16
2019-06-30;Bulu Unggas ;91.78
2019-07-31;Hasil Minyak;233.11
2019-07-31;Pakaian Jadi Bukan Rajutan;1213.89
2019-07-31;Barang-barang Rajutan;505.58
2019-07-31;Kayu - Barang dari Kayu;523.90
2019-07-31;Perabot Peneragangan Rumah;392.72
2019-07-31;Alas Kaki;249.35
2019-07-31;Serat Stafel Buatan;264.86
2019-07-31;Barang-barang dari Kulit ;206.45
2019-07-31;Mesin/Peralatan Listrik;178.25
2019-07-31;Mesin-mesin/Pesawat Mekanik;100.60
2019-07-31;Bulu Unggas ;105.68
2019-08-31;Hasil Minyak;288.13
2019-08-31;Pakaian Jadi Bukan Rajutan;1397.57
2019-08-31;Barang-barang Rajutan;595.46
2019-08-31;Kayu - Barang dari Kayu;501.66
2019-08-31;Perabot Peneragangan Rumah;445.85
2019-08-31;Alas Kaki;291.18
2019-08-31;Serat Stafel Buatan;302.63
2019-08-31;Barang-barang dari Kulit ;228.75
2019-08-31;Mesin/Peralatan Listrik;196.60
2019-08-31;Mesin-mesin/Pesawat Mekanik;119.04
2019-08-31;Bulu Unggas ;117.19
2019-09-30;Hasil Minyak;361.68
2019-09-30;Pakaian Jadi Bukan Rajutan;1546.08
2019-09-30;Barang-barang Rajutan;687.04
2019-09-30;Kayu - Barang dari Kayu;575.40
2019-09-30;Perabot Peneragangan Rumah;498.02
2019-09-30;Alas Kaki;327.52
2019-09-30;Serat Stafel Buatan;339.11
2019-09-30;Barang-barang dari Kulit ;244.11
2019-09-30;Mesin/Peralatan Listrik;217.99
2019-09-30;Mesin-mesin/Pesawat Mekanik;134.83
2019-09-30;Bulu Unggas ;130.04
2019-10-31;Hasil Minyak;389.65
2019-10-31;Pakaian Jadi Bukan Rajutan;1693.06
2019-10-31;Barang-barang Rajutan;774.27
2019-10-31;Kayu - Barang dari Kayu;655.25
2019-10-31;Perabot Peneragangan Rumah;553.57
2019-10-31;Alas Kaki;367.22
2019-10-31;Serat Stafel Buatan;395.40
2019-10-31;Barang-barang dari Kulit ;253.19
2019-10-31;Mesin/Peralatan Listrik;245.28
2019-10-31;Mesin-mesin/Pesawat Mekanik;151.31
2019-10-31;Bulu Unggas ;144.43
2019-11-30;Hasil Minyak;425.40
2019-11-30;Pakaian Jadi Bukan Rajutan;1848.49
2019-11-30;Barang-barang Rajutan;855.87
2019-11-30;Kayu - Barang dari Kayu;729.49
2019-11-30;Perabot Peneragangan Rumah;606.05
2019-11-30;Alas Kaki;413.44
2019-11-30;Serat Stafel Buatan;446.80
2019-11-30;Barang-barang dari Kulit ;259.31
2019-11-30;Mesin/Peralatan Listrik;269.89
2019-11-30;Mesin-mesin/Pesawat Mekanik;167.24
2019-11-30;Bulu Unggas ;158.08
2019-12-31;Hasil Minyak;474.79
2019-12-31;Pakaian Jadi Bukan Rajutan;2053.29
2019-12-31;Barang-barang Rajutan;938.19
2019-12-31;Kayu - Barang dari Kayu;801.82
2019-12-31;Perabot Peneragangan Rumah;664.44
2019-12-31;Alas Kaki;458.16
2019-12-31;Serat Stafel Buatan;496.79
2019-12-31;Barang-barang dari Kulit ;283.67
2019-12-31;Mesin/Peralatan Listrik;275.68
2019-12-31;Mesin-mesin/Pesawat Mekanik;182.26
2019-12-31;Bulu Unggas ;170.15
2020-01-31;Hasil Minyak;588.20
2020-01-31;Pakaian Jadi Bukan Rajutan;2255.62
2020-01-31;Barang-barang Rajutan;1007.24
2020-01-31;Kayu - Barang dari Kayu;878.85
2020-01-31;Perabot Peneragangan Rumah;723.18
2020-01-31;Alas Kaki;509.44
2020-01-31;Serat Stafel Buatan;536.98
2020-01-31;Barang-barang dari Kulit ;307.71
2020-01-31;Mesin/Peralatan Listrik;305.20
2020-01-31;Mesin-mesin/Pesawat Mekanik;190.88
2020-01-31;Bulu Unggas ;187.64
2020-02-28;Hasil Minyak;612.70
2020-02-28;Pakaian Jadi Bukan Rajutan;2442.07
2020-02-28;Barang-barang Rajutan;1075.78
2020-02-28;Kayu - Barang dari Kayu;950.31
2020-02-28;Perabot Peneragangan Rumah;783.14
2020-02-28;Alas Kaki;556.77
2020-02-28;Serat Stafel Buatan;580.13
2020-02-28;Barang-barang dari Kulit ;337.69
2020-02-28;Mesin/Peralatan Listrik;334.53
2020-02-28;Mesin-mesin/Pesawat Mekanik;208.50
2020-02-28;Bulu Unggas ;202.97
2020-03-31;Hasil Minyak;632.39
2020-03-31;Pakaian Jadi Bukan Rajutan;2614.26
2020-03-31;Barang-barang Rajutan;1154.04
2020-03-31;Kayu - Barang dari Kayu;1015.04
2020-03-31;Perabot Peneragangan Rumah;840.34
2020-03-31;Alas Kaki;611.14
2020-03-31;Serat Stafel Buatan;615.63
2020-03-31;Barang-barang dari Kulit ;373.45
2020-03-31;Mesin/Peralatan Listrik;352.25
2020-03-31;Mesin-mesin/Pesawat Mekanik;225.64
2020-03-31;Bulu Unggas ;217.25
2020-04-30;Hasil Minyak;646.01
2020-04-30;Pakaian Jadi Bukan Rajutan;2714.85
2020-04-30;Barang-barang Rajutan;1229.17
2020-04-30;Kayu - Barang dari Kayu;1064.67
2020-04-30;Perabot Peneragangan Rumah;886.30
2020-04-30;Alas Kaki;663.48
2020-04-30;Serat Stafel Buatan;629.68
2020-04-30;Barang-barang dari Kulit ;397.86
2020-04-30;Mesin/Peralatan Listrik;369.97
2020-04-30;Mesin-mesin/Pesawat Mekanik;244.93
2020-04-30;Bulu Unggas ;227.20
2020-05-31;Hasil Minyak;682.29
2020-05-31;Pakaian Jadi Bukan Rajutan;2804.41
2020-05-31;Barang-barang Rajutan;1279.83
2020-05-31;Kayu - Barang dari Kayu;1107.36
2020-05-31;Perabot Peneragangan Rumah;923.21
2020-05-31;Alas Kaki;696.61
2020-05-31;Serat Stafel Buatan;641.42
2020-05-31;Barang-barang dari Kulit ;422.37
2020-05-31;Mesin/Peralatan Listrik;380.27
2020-05-31;Mesin-mesin/Pesawat Mekanik;255.69
2020-05-31;Bulu Unggas ;236.65
2020-06-30;Hasil Minyak;734.22
2020-06-30;Pakaian Jadi Bukan Rajutan;2943.52
2020-06-30;Barang-barang Rajutan;1343.42
2020-06-30;Kayu - Barang dari Kayu;1180.29
2020-06-30;Perabot Peneragangan Rumah;968.89
2020-06-30;Alas Kaki;630.62
2020-06-30;Serat Stafel Buatan;670.69
2020-06-30;Barang-barang dari Kulit ;435.44
2020-06-30;Mesin/Peralatan Listrik;400.63
2020-06-30;Mesin-mesin/Pesawat Mekanik;268.46
2020-06-30;Bulu Unggas ;250.13
2020-07-31;Hasil Minyak;770.00
2020-07-31;Pakaian Jadi Bukan Rajutan;3106.12
2020-07-31;Barang-barang Rajutan;1416.10
2020-07-31;Kayu - Barang dari Kayu;1273.33
2020-07-31;Perabot Peneragangan Rumah;1026.43
2020-07-31;Alas Kaki;660.77
2020-07-31;Serat Stafel Buatan;692.00
2020-07-31;Barang-barang dari Kulit ;458.13
2020-07-31;Mesin/Peralatan Listrik;427.08
2020-07-31;Mesin-mesin/Pesawat Mekanik;290.45
2020-07-31;Bulu Unggas ;265.38
2020-08-31;Hasil Minyak;791.85
2020-08-31;Pakaian Jadi Bukan Rajutan;3258.23
2020-08-31;Barang-barang Rajutan;1504.39
2020-08-31;Kayu - Barang dari Kayu;1342.56
2020-08-31;Perabot Peneragangan Rumah;1081.48
2020-08-31;Alas Kaki;690.74
2020-08-31;Serat Stafel Buatan;719.02
2020-08-31;Barang-barang dari Kulit ;476.82
2020-08-31;Mesin/Peralatan Listrik;450.86
2020-08-31;Mesin-mesin/Pesawat Mekanik;302.93
2020-08-31;Bulu Unggas ;278.34
2020-09-30;Hasil Minyak;837.22
2020-09-30;Pakaian Jadi Bukan Rajutan;3411.99
2020-09-30;Barang-barang Rajutan;1593.26
2020-09-30;Kayu - Barang dari Kayu;1417.86
2020-09-30;Perabot Peneragangan Rumah;1139.38
2020-09-30;Alas Kaki;726.45
2020-09-30;Serat Stafel Buatan;751.09
2020-09-30;Barang-barang dari Kulit ;496.17
2020-09-30;Mesin/Peralatan Listrik;481.74
2020-09-30;Mesin-mesin/Pesawat Mekanik;315.60
2020-09-30;Bulu Unggas ;293.51
2020-10-31;Hasil Minyak;872.97
2020-10-31;Pakaian Jadi Bukan Rajutan;3518.20
2020-10-31;Barang-barang Rajutan;1670.64
2020-10-31;Kayu - Barang dari Kayu;1496.72
2020-10-31;Perabot Peneragangan Rumah;1203.57
2020-10-31;Alas Kaki;778.31
2020-10-31;Serat Stafel Buatan;780.82
2020-10-31;Barang-barang dari Kulit ;518.95
2020-10-31;Mesin/Peralatan Listrik;514.92
2020-10-31;Mesin-mesin/Pesawat Mekanik;328.55
2020-10-31;Bulu Unggas ;210.34
2020-11-30;Hasil Minyak;901.16
2020-11-30;Pakaian Jadi Bukan Rajutan;3642.04
2020-11-30;Barang-barang Rajutan;1742.00
2020-11-30;Kayu - Barang dari Kayu;1572.73
2020-11-30;Perabot Peneragangan Rumah;1260.31
2020-11-30;Alas Kaki;736.87
2020-11-30;Serat Stafel Buatan;800.28
2020-11-30;Barang-barang dari Kulit ;545.30
2020-11-30;Mesin/Peralatan Listrik;542.67
2020-11-30;Mesin-mesin/Pesawat Mekanik;344.59
2020-11-30;Bulu Unggas ;227.10
2020-12-31;Hasil Minyak;1012.81
2020-12-31;Pakaian Jadi Bukan Rajutan;3804.49
2020-12-31;Barang-barang Rajutan;1832.02
2020-12-31;Kayu - Barang dari Kayu;1650.52
2020-12-31;Perabot Peneragangan Rumah;1324.25
2020-12-31;Alas Kaki;792.76
2020-12-31;Serat Stafel Buatan;835.77
2020-12-31;Barang-barang dari Kulit ;575.06
2020-12-31;Mesin/Peralatan Listrik;572.11
2020-12-31;Mesin-mesin/Pesawat Mekanik;365.52
2020-12-31;Bulu Unggas ;244.66
2021-01-31;Hasil Minyak;1052.15
2021-01-31;Pakaian Jadi Bukan Rajutan;3965.44
2021-01-31;Barang-barang Rajutan;1920.98
2021-01-31;Kayu - Barang dari Kayu;1729.34
2021-01-31;Perabot Peneragangan Rumah;1390.08
2021-01-31;Alas Kaki;851.56
2021-01-31;Serat Stafel Buatan;873.00
2021-01-31;Barang-barang dari Kulit ;608.29
2021-01-31;Mesin/Peralatan Listrik;605.12
2021-01-31;Mesin-mesin/Pesawat Mekanik;387.48
2021-01-31;Bulu Unggas ;262.85
2021-02-28;Hasil Minyak;1093.93
2021-02-28;Pakaian Jadi Bukan Rajutan;4118.77
2021-02-28;Barang-barang Rajutan;2000.21
2021-02-28;Kayu - Barang dari Kayu;1810.40
2021-02-28;Perabot Peneragangan Rumah;1462.51
2021-02-28;Alas Kaki;906.85
2021-02-28;Serat Stafel Buatan;913.70
2021-02-28;Barang-barang dari Kulit ;644.03
2021-02-28;Mesin/Peralatan Listrik;634.82
2021-02-28;Mesin-mesin/Pesawat Mekanik;411.05
2021-02-28;Bulu Unggas ;282.25
2021-03-31;Hasil Minyak;1111.76
2021-03-31;Pakaian Jadi Bukan Rajutan;4296.82
2021-03-31;Barang-barang Rajutan;2092.86
2021-03-31;Kayu - Barang dari Kayu;1911.67
2021-03-31;Perabot Peneragangan Rumah;1547.00
2021-03-31;Alas Kaki;982.88
2021-03-31;Serat Stafel Buatan;960.70
2021-03-31;Barang-barang dari Kulit ;687.88
2021-03-31;Mesin/Peralatan Listrik;668.34
2021-03-31;Mesin-mesin/Pesawat Mekanik;440.70
2021-03-31;Bulu Unggas ;302.84
2021-04-30;Hasil Minyak;1165.42
2021-04-30;Pakaian Jadi Bukan Rajutan;4430.84
2021-04-30;Barang-barang Rajutan;2197.50
2021-04-30;Kayu - Barang dari Kayu;1991.49
2021-04-30;Perabot Peneragangan Rumah;1635.38
2021-04-30;Alas Kaki;1054.58
2021-04-30;Serat Stafel Buatan;1005.39
2021-04-30;Barang-barang dari Kulit ;725.91
2021-04-30;Mesin/Peralatan Listrik;706.68
2021-04-30;Mesin-mesin/Pesawat Mekanik;465.74
2021-04-30;Bulu Unggas ;324.48
2021-05-31;Hasil Minyak;1197.59
2021-05-31;Pakaian Jadi Bukan Rajutan;4543.80
2021-05-31;Barang-barang Rajutan;2269.54
2021-05-31;Kayu - Barang dari Kayu;2064.91
2021-05-31;Perabot Peneragangan Rumah;1695.99
2021-05-31;Alas Kaki;1105.90
2021-05-31;Serat Stafel Buatan;1039.28
2021-05-31;Barang-barang dari Kulit ;748.15
2021-05-31;Mesin/Peralatan Listrik;725.42
2021-05-31;Mesin-mesin/Pesawat Mekanik;479.32
2021-05-31;Bulu Unggas ;339.59
2021-06-30;Hasil Minyak;1234.83
2021-06-30;Pakaian Jadi Bukan Rajutan;4695.67
2021-06-30;Barang-barang Rajutan;2372.45
2021-06-30;Kayu - Barang dari Kayu;2154.64
2021-06-30;Perabot Peneragangan Rumah;1764.13
2021-06-30;Alas Kaki;1161.40
2021-06-30;Serat Stafel Buatan;1079.48
2021-06-30;Barang-barang dari Kulit ;784.71
2021-06-30;Mesin/Peralatan Listrik;756.42
2021-06-30;Mesin-mesin/Pesawat Mekanik;497.84
2021-06-30;Bulu Unggas ;359.49
2021-07-31;Hasil Minyak;1265.66
2021-07-31;Pakaian Jadi Bukan Rajutan;4861.99
2021-07-31;Barang-barang Rajutan;2474.45
2021-07-31;Kayu - Barang dari Kayu;2247.73
2021-07-31;Perabot Peneragangan Rumah;1830.82
2021-07-31;Alas Kaki;1217.80
2021-07-31;Serat Stafel Buatan;1111.60
2021-07-31;Barang-barang dari Kulit ;815.14
2021-07-31;Mesin/Peralatan Listrik;785.64
2021-07-31;Mesin-mesin/Pesawat Mekanik;421.23
2021-07-31;Bulu Unggas ;380.57
2021-08-31;Hasil Minyak;1348.23
2021-08-31;Pakaian Jadi Bukan Rajutan;5050.84
2021-08-31;Barang-barang Rajutan;2582.42
2021-08-31;Kayu - Barang dari Kayu;2346.85
2021-08-31;Perabot Peneragangan Rumah;1908.38
2021-08-31;Alas Kaki;1284.91
2021-08-31;Serat Stafel Buatan;1153.76
2021-08-31;Barang-barang dari Kulit ;852.33
2021-08-31;Mesin/Peralatan Listrik;818.02
2021-08-31;Mesin-mesin/Pesawat Mekanik;448.45
2021-08-31;Bulu Unggas ;399.96
